Metric,Dataset_ID,Dataset_Name,Model_Group_ID,Model_Group_Name,Mean_Performance
Accuracy,D1,Real,G1,RandomForest,0.835868312
Accuracy,D1,Real,G2,SVM,0.714689819
Accuracy,D1,Real,G3,XGBoost,0.832261679
Accuracy,D2,GAN,G1,RandomForest,0.840345323
Accuracy,D2,GAN,G2,SVM,0.674940705
Accuracy,D2,GAN,G3,XGBoost,0.839442305
Accuracy,D3,VAE,G1,RandomForest,0.811644581
Accuracy,D3,VAE,G2,SVM,0.5748417
Accuracy,D3,VAE,G3,XGBoost,0.809038884
Precision,D1,Real,G1,RandomForest,0.790697071
Precision,D1,Real,G2,SVM,0.734825181
Precision,D1,Real,G3,XGBoost,0.787176148
Precision,D2,GAN,G1,RandomForest,0.786027937
Precision,D2,GAN,G2,SVM,0.736970936
Precision,D2,GAN,G3,XGBoost,0.764453061
Precision,D3,VAE,G1,RandomForest,0.778234115
Precision,D3,VAE,G2,SVM,0.653669314
Precision,D3,VAE,G3,XGBoost,0.781700986
Recall,D1,Real,G1,RandomForest,0.835868312
Recall,D1,Real,G2,SVM,0.714689819
Recall,D1,Real,G3,XGBoost,0.832261679
Recall,D2,GAN,G1,RandomForest,0.840345323
Recall,D2,GAN,G2,SVM,0.674940705
Recall,D2,GAN,G3,XGBoost,0.839442305
Recall,D3,VAE,G1,RandomForest,0.811644581
Recall,D3,VAE,G2,SVM,0.5748417
Recall,D3,VAE,G3,XGBoost,0.809038884
F1_Score,D1,Real,G1,RandomForest,0.788703164
F1_Score,D1,Real,G2,SVM,0.71258854
F1_Score,D1,Real,G3,XGBoost,0.788867226
F1_Score,D2,GAN,G1,RandomForest,0.783001967
F1_Score,D2,GAN,G2,SVM,0.691008816
F1_Score,D2,GAN,G3,XGBoost,0.787988445
F1_Score,D3,VAE,G1,RandomForest,0.774391655
F1_Score,D3,VAE,G2,SVM,0.602576716
F1_Score,D3,VAE,G3,XGBoost,0.775253268
